

z(m), Y
-2e-06, 0.968674
-1.9688e-06, 0.968689
-1.9376e-06, 0.96902
-1.9064e-06, 0.969628
-1.87519e-06, 0.970434
-1.84399e-06, 0.971334
-1.81279e-06, 0.972214
-1.78159e-06, 0.972965
-1.75039e-06, 0.973495
-1.71919e-06, 0.973746
-1.68798e-06, 0.973695
-1.65678e-06, 1.46309
-1.62558e-06, 1.67821
-1.59438e-06, 1.83769
-1.56318e-06, 1.93625
-1.53198e-06, 1.97059
-1.50078e-06, 1.93959
-1.46957e-06, 1.84427
-1.43837e-06, 1.68779
-1.40717e-06, 1.47534
-1.37597e-06, 1.21398
-1.34477e-06, 0.912416
-1.31357e-06, 0.580719
-1.28237e-06, 0.230491
-1.25116e-06, 0.132543
-1.21996e-06, 0.485018
-1.18876e-06, 0.823114
-1.15756e-06, 1.13411
-1.12636e-06, 1.40755
-1.09516e-06, 1.63435
-1.06395e-06, 1.80696
-1.03275e-06, 1.91965
-1.00155e-06, 1.96868
-9.7035e-07, 1.95242
-9.39149e-07, 1.87141
-9.07947e-07, 1.72835
-8.76746e-07, 1.52797
-8.45544e-07, 1.27695
-8.14343e-07, 0.983608
-7.83141e-07, 0.657754
-7.5194e-07, 0.310532
-7.20738e-07, 0.0555223
-6.89537e-07, 0.40604
-6.58335e-07, 0.748644
-6.27134e-07, 1.06666
-5.95932e-07, 1.34933
-5.64731e-07, 1.58718
-5.33529e-07, 1.77221
-5.02328e-07, 1.89814
-4.71126e-07, 1.96047
-4.39925e-07, 1.95659
-4.08723e-07, 1.88558
-3.77522e-07, 1.74786
-3.4632e-07, 1.54429
-3.19553e-07, 1.31682
-2.96781e-07, 1.08249
-2.8016e-07, 0.884596
-2.6803e-07, 0.723781
-2.59177e-07, 0.596809
-2.52716e-07, 0.498816
-2.48e-07, 0.424482
-2.43284e-07, 0.36259
-2.38568e-07, 0.311014
-2.33853e-07, 0.267983
-2.29137e-07, 0.232018
-2.24421e-07, 0.201888
-2.19705e-07, 0.176583
-2.14989e-07, 0.15526
-2.10274e-07, 0.137232
-2.05558e-07, 0.121926
-2.00842e-07, 0.108878
-1.96126e-07, 0.0977045
-1.91411e-07, 0.0880888
-1.86695e-07, 0.0797727
-1.81979e-07, 0.0725447
-1.77263e-07, 0.0662303
-1.72547e-07, 0.0606824
-1.67832e-07, 0.0557842
-1.63116e-07, 0.0514362
-1.584e-07, 0.0475559
-1.53684e-07, 0.0440757
-1.48968e-07, 0.0409398
-1.44253e-07, 0.0381006
-1.39537e-07, 0.0355192
-1.34821e-07, 0.0331588
-1.30105e-07, 0.0309961
-1.25389e-07, 0.0290024
-1.20674e-07, 0.0271613
-1.15958e-07, 0.0254534
-1.11242e-07, 0.0238649
-1.06526e-07, 0.0223811
-1.01811e-07, 0.0209956
-9.70947e-08, 0.0196927
-9.23789e-08, 0.0184698
-8.76632e-08, 0.017315
-8.29474e-08, 0.0162252
-7.82316e-08, 0.0151966
-7.35158e-08, 0.0142176
-6.88e-08, 0.0132904
-6.40842e-08, 0.012407
-5.93684e-08, 0.0115699
-5.46526e-08, 0.0107671
-4.99368e-08, 0.0100044
-4.52211e-08, 0.00927467
-4.05053e-08, 0.00857986
-3.57895e-08, 0.0079147
-3.10737e-08, 0.0072811
-2.63579e-08, 0.00667706
-2.16421e-08, 0.0061
-1.69263e-08, 0.00555599
-1.22105e-08, 0.00503787
-7.49474e-09, 0.00455038
-2.77895e-09, 0.00409214
1.93684e-09, 0.0036686
6.65263e-09, 0.00327014
1.13684e-08, 0.00290509
1.60842e-08, 0.00257243
2.08e-08, 0.00226393
2.55158e-08, 0.0019887
3.02316e-08, 0.00174157
3.49474e-08, 0.00151671
3.96632e-08, 0.00131972
4.43789e-08, 0.00114667
4.90947e-08, 0.000990996
5.38105e-08, 0.000854758
5.85263e-08, 0.000736555
6.32421e-08, 0.000634391
6.79579e-08, 0.000543957
7.26737e-08, 0.000465317
7.73895e-08, 0.000398243
8.21053e-08, 0.000341167
8.68211e-08, 0.000290545
9.15368e-08, 0.000247933
9.62526e-08, 0.000211141
1.00968e-07, 0.000177824
1.05684e-07, 0.000153248
1.104e-07, 0.000127978
1.15116e-07, 0.000108711
1.19832e-07, 9.32528e-05
1.24547e-07, 7.72006e-05
1.29263e-07, 6.74337e-05
1.33979e-07, 5.50671e-05
1.38695e-07, 4.72083e-05
1.43411e-07, 3.89728e-05
1.48126e-07, 3.41898e-05
1.52842e-07, 2.90414e-05
1.57558e-07, 2.33002e-05
1.62274e-07, 2.16698e-05
1.66989e-07, 1.67147e-05
1.71705e-07, 1.42758e-05
1.76421e-07, 1.15946e-05
1.81137e-07, 9.78028e-06
1.85853e-07, 7.9862e-06
1.90568e-07, 8.17186e-06
1.95284e-07, 7.81301e-06
2e-07, 6.51546e-06


