new_parameter, Y
0, 0.82732
5, 0.821885
10, 0.805748
15, 0.779397
20, 0.743635
25, 0.699546
30, 0.648471
35, 0.591654
40, 0.531467
45, 0.469394
50, 0.407321
55, 0.347129
60, 0.290657
65, 0.239409
70, 0.195457
75, 0.159658
80, 0.133381
85, 0.11741
90, 0.112069
95, 0.11741
100, 0.133381
105, 0.159658
110, 0.195457
115, 0.239409
120, 0.290657
125, 0.347129
130, 0.407321
135, 0.469394
140, 0.531467
145, 0.591654
150, 0.648471
155, 0.699546
160, 0.743635
165, 0.779397
170, 0.805748
175, 0.821885
180, 0.82732
185, 0.821885
190, 0.805748
195, 0.779397
200, 0.743635
205, 0.699546
210, 0.648471
215, 0.591654
220, 0.531467
225, 0.469394
230, 0.407321
235, 0.347129
240, 0.290657
245, 0.239409
250, 0.195457
255, 0.159658
260, 0.133381
265, 0.11741
270, 0.112069
275, 0.11741
280, 0.133381
285, 0.159658
290, 0.195457
295, 0.239409
300, 0.290657
305, 0.347129
310, 0.407321
315, 0.469394
320, 0.531467
325, 0.591654
330, 0.648471
335, 0.699546
340, 0.743635
345, 0.779397
350, 0.805748
355, 0.821885
360, 0.82732
